"","Geneid","DZ_curves_0_1","DZ_curves_0_2","DZ_curves_0_3","ensgene","symbol"
"9551","ENSG00000197343.11",4879.16766787836,4701.55118893125,5540.93998763497,"ENSG00000197343","ZNF655"
"9552","ENSG00000197345.13",2113.51935828345,2072.94721159751,1895.98243214363,"ENSG00000197345","MRPL21"
"9553","ENSG00000197355.11",1131.57129510769,1109.45622650555,1175.67902660328,"ENSG00000197355","UAP1L1"
"9554","ENSG00000197362.15",589.949468789347,641.759515843361,699.073073022712,"ENSG00000197362","ZNF786"
"9555","ENSG00000197372.10",1132.76684125021,1137.10508544447,1104.66160038035,"ENSG00000197372","ZNF675"
"9556","ENSG00000197375.14",1265.77203214486,1231.87339115282,1177.01203612075,"ENSG00000197375","SLC22A5"
"9557","ENSG00000197381.17",879.092695045051,855.385050787704,894.801824105679,"ENSG00000197381","ADARB1"
"9558","ENSG00000197386.14",6643.66262456329,7289.20593459451,7566.60362766236,"ENSG00000197386","HTT"
"9559","ENSG00000197417.9",341.608452110499,378.819744087048,360.548934217164,"ENSG00000197417","SHPK"
"9560","ENSG00000197429.11",988.49156745779,1006.35663543037,1134.49759952647,"ENSG00000197429","IPP"
"9561","ENSG00000197442.10",767.721285037573,744.573978317364,755.966599924058,"ENSG00000197442","MAP3K5"
"9562","ENSG00000197444.10",5017.47193674528,5184.44161970895,5074.41679659052,"ENSG00000197444","OGDHL"
"9563","ENSG00000197448.14",2298.26578483209,2231.90890910276,2116.98594267228,"ENSG00000197448","GSTK1"
"9564","ENSG00000197451.12",15847.5554719173,16621.0888958216,16342.2496896393,"ENSG00000197451","HNRNPAB"
"9565","ENSG00000197457.10",3187.5546739223,3434.4572448889,3240.26301258555,"ENSG00000197457","STMN3"
"9566","ENSG00000197472.15",755.891412638235,805.24748475179,835.741251853138,"ENSG00000197472","ZNF695"
"9567","ENSG00000197479.7",681.335084349335,668.770985925548,665.048045970961,"ENSG00000197479","PCDHB11"
"9568","ENSG00000197498.13",5534.10159459416,5486.14364750828,5219.00604641112,"ENSG00000197498","RPF2"
