"","Geneid","DZ_curves_002_1","DZ_curves_002_2","DZ_curves_002_3","DZ_curves_003_1","DZ_curves_003_2","DZ_curves_003_3","DZ_curves_004_1","DZ_curves_004_2","DZ_curves_004_3","DZ_curves_005_1","DZ_curves_005_2","DZ_curves_005_3","DZ_curves_0075_1","DZ_curves_0075_2","DZ_curves_0075_3","DZ_curves_01_1","DZ_curves_01_2","DZ_curves_01_3","DZ_curves_1_1","DZ_curves_1_2","DZ_curves_1_3","DZ_curves_0_1","DZ_curves_0_2","DZ_curves_0_3","ensgene","symbol"
"11164","ENSG00000267855.6",1032.012,943.7763,873.9016,1143.394,968.2149,1022.424,1023.588,1100.881,993.5757,1038.705,779.4747,1001.094,918.7779,990.5873,923.562,899.882,1089.384,906.6351,941.2131,918.2659,810.6693,909.3245,1033.842,961.7621,"ENSG00000267855","NDUFA7"
"11165","ENSG00000268043.8",1721.428,1875.912,1701.126,1583.902,1983.525,1954.386,1549.938,2150.778,1889.812,1886.918,1818.833,1633.425,1532.33,1663.455,1470.34,1824.782,1644.422,1662.482,1377.116,1619.323,1446.966,1464.512,1529.547,1894.34,"ENSG00000268043","NBPF12"
"11166","ENSG00000268119.7",654.2445,668.0134,698.8627,546.0767,697.4294,643.9682,512.1587,632.5524,625.7313,625.9339,662.3241,561.6682,541.5088,561.0162,620.6431,626.3309,603.0653,647.0741,538.5991,680.0613,673.5139,619.0715,623.9524,832.3582,"ENSG00000268119","AC010615.2"
"11167","ENSG00000268205.1",965.2305,784.0652,667.8842,610.3456,757.2501,764.0195,556.5242,766.4063,735.8896,608.9792,731.9587,485.6117,529.3074,592.4981,588.6199,753.0791,732.9879,672.3644,418.3961,656.2139,678.9978,668.6646,580.3203,698.7723,"ENSG00000268205","AC005261.2"
"11168","ENSG00000268350.8",226.0545,422.2493,478.7719,264.8642,179.6623,212.3831,302.6042,248.2772,589.2392,285.0405,532.5825,201.7904,176.8352,248.7675,238.7316,272.9546,236.2375,272.1699,233.504,250.222,252.913,397.3246,265.2273,326.1292,"ENSG00000268350","FAM156A"
"11169","ENSG00000268362.6",648.5016,864.7149,543.6653,508.3579,860.0005,811.8284,526.5005,838.4607,899.5524,784.553,844.6508,632.4294,617.6637,752.3092,760.3536,977.1804,858.3259,873.0396,686.8115,933.6654,957.6528,488.5878,499.0743,792.3102,"ENSG00000268362","AC092279.1"
"11170","ENSG00000268471.6",404.6468,352.0764,291.0009,328.3923,314.7121,294.2006,315.0777,332.5481,304.32,289.8437,300.0068,278.0909,243.3236,340.3601,259.3572,313.7366,318.9684,297.5107,294.9298,288.7935,303.5975,273.3643,254.3102,304.0442,"ENSG00000268471","LINC02486"
"11171","ENSG00000268575.1",484.5161,530.0001,359.6894,292.2741,397.7709,397.1535,325.4289,372.7945,399.3672,338.5347,396.7844,278.0309,325.0791,346.9109,303.5189,411.8164,397.2536,365.1036,296.8829,396.5218,310.8899,396.9176,318.3273,365.6622,"ENSG00000268575","AL031282.2"
"11172","ENSG00000268658.5",475.9651,375.2233,341.8328,375.3601,336.5888,356.0909,309.8446,315.7164,297.5536,319.4592,293.948,263.7383,265.4798,294.7747,186.2967,284.2634,305.1921,186.6966,149.6851,144.8768,155.3994,413.2119,353.6026,374.2974,"ENSG00000268658","LINC00664"
"11173","ENSG00000268858.2",329.5833,290.6901,263.599,272.513,268.4227,256.8566,261.2964,219.8879,264.9127,254.7376,230.6069,220.6538,275.1835,228.8505,251.5496,250.0435,272.7572,247.7563,239.7566,233.5991,240.9943,341.5716,306.4331,349.3242,"ENSG00000268858","AL118506.1"
"11174","ENSG00000269001.3",397.5011,450.3413,284.7769,332.9121,302.9935,323.7739,284.0046,319.9685,217.6658,272.7334,255.8376,265.8326,256.1877,245.6935,273.484,310.0413,241.6511,278.0686,272.6519,318.7704,289.3377,349.2081,309.7628,322.6711,"ENSG00000269001","AC092070.2"
"11175","ENSG00000269067.2",423.6658,387.3446,359.6955,393.6372,496.6497,347.6003,354.4602,450.2802,368.5608,338.0583,358.0941,354.7027,369.0829,374.7366,386.9754,426.0467,349.5595,420.3767,358.7624,420.0863,399.7725,358.2144,385.3362,376.5134,"ENSG00000269067","ZNF728"
"11176","ENSG00000269190.6",801.3001,859.347,755.8379,730.5425,813.2879,841.2985,739.3675,769.0575,769.7836,724.4324,795.7839,664.0046,690.0552,689.4978,698.8096,756.0244,699.2044,657.077,605.3371,634.077,583.0021,823.1342,761.4628,801.504,"ENSG00000269190","FBXO17"
"11177","ENSG00000269335.7",432.063,413.0538,356.9267,435.5545,405.0641,408.2112,382.0798,362.6694,424.0058,350.4278,367.8778,346.907,373.7693,349.7122,377.6137,423.576,415.8348,398.6731,353.9959,347.2209,387.3402,340.9094,437.2836,428.6961,"ENSG00000269335","IKBKG"
"11178","ENSG00000269343.9",775.6114,904.5995,814.699,835.4196,1039.107,990.8466,927.9405,1036.626,1004.013,989.1914,1006.26,1061.292,1033.456,859.1523,905.4801,883.9505,939.7688,1042.487,953.3113,986.6216,1005.077,837.0513,862.9526,868.7508,"ENSG00000269343","ZNF587B"
"11179","ENSG00000269416.7",616.1767,676.4925,570.2467,570.2493,677.8702,663.7545,557.7897,584.1391,662.8105,547.3866,615.0998,809.3814,538.3552,553.7249,601.9344,576.7095,523.2746,593.2451,582.9187,439.981,605.0614,868.3087,826.6278,945.6501,"ENSG00000269416","LINC01224"
"11180","ENSG00000269556.9",898.2103,826.0316,933.6694,856.7102,829.3885,812.1369,834.2046,851.4946,914.8999,828.8007,791.0868,730.7044,815.6714,797.218,693.0926,786.2429,759.0753,750.0876,782.6641,809.3326,764.6039,941.0092,880.0976,766.7918,"ENSG00000269556","TMEM185A"
"11181","ENSG00000269609.6",982.2692,1052.516,877.0073,963.8117,1020.491,1060.191,938.2025,1039.183,991.4387,1028.402,1330.108,1168.308,954.6532,1076.03,932.5348,1140.305,1003.132,976.7852,867.698,920.7897,920.6246,745.6329,867.1762,763.8307,"ENSG00000269609","RPARP-AS1"
"11182","ENSG00000269693.1",183.9257,0,0,232.6582,61.16792,0,174.9214,287.6837,281.6794,251.817,403.1636,356.7027,219.6873,259.929,204.4007,229.7674,126.3717,255.4825,93.44017,76.29512,156.2916,325.841,250.3376,220.1832,"ENSG00000269693","AC010422.6"
"11183","ENSG00000269713.8",9634.637,11166.23,9168.326,6730.232,10597.89,10859.45,5804.021,10139.1,11144.33,8541.332,10188.9,6304.849,6408.184,8605.888,7898.198,10534.26,9594.18,8151.019,5289.052,9296.584,8361.002,8401.973,7781.152,11259.87,"ENSG00000269713","NBPF9"
"11184","ENSG00000269713.8",9634.637,11166.23,9168.326,6730.232,10597.89,10859.45,5804.021,10139.1,11144.33,8541.332,10188.9,6304.849,6408.184,8605.888,7898.198,10534.26,9594.18,8151.019,5289.052,9296.584,8361.002,8401.973,7781.152,11259.87,"ENSG00000269713","NBPF9"
"11185","ENSG00000269713.8",9634.637,11166.23,9168.326,6730.232,10597.89,10859.45,5804.021,10139.1,11144.33,8541.332,10188.9,6304.849,6408.184,8605.888,7898.198,10534.26,9594.18,8151.019,5289.052,9296.584,8361.002,8401.973,7781.152,11259.87,"ENSG00000269713","NBPF9"
"11186","ENSG00000269821.1",4319.764,6162.309,2702.622,1461.798,5535.174,5225.296,823.9934,4324.526,5199.691,3340.63,4635.01,912.8293,1275.92,3190.254,1859.555,6875.945,4545.628,2895.373,751.4554,3666.945,2504.902,1517.649,1189.908,3831.069,"ENSG00000269821","KCNQ1OT1"
"11187","ENSG00000269825.2",530.1362,750.6801,551.9549,416.8271,617.8968,623.4013,460.7548,630.2522,605.0397,528.0542,620.4108,466.8524,509.3871,536.8579,533.1127,625.6153,558.4406,521.6285,423.7585,589.3158,540.0366,482.5283,498.0817,673.2452,"ENSG00000269825","AC022150.4"
"11188","ENSG00000269837.1",489.1012,565.6893,529.7536,578.2381,616.9365,576.3802,659.1075,605.4613,1337.142,648.9544,568.8258,572.0026,625.1618,545.2442,574.0265,614.1645,587.2986,671.5124,639.2973,637.2417,777.8812,530.607,622.1783,649.221,"ENSG00000269837","IPO5P1"
"11189","ENSG00000269858.6",630.4954,734.4607,736.1232,765.6534,762.4094,767.5834,773.582,815.833,743.9547,770.2895,829.3871,774.7078,753.5603,678.463,802.3016,676.6076,690.4086,716.3428,750.4168,735.7698,804.112,686.9611,770.1669,784.4892,"ENSG00000269858","EGLN2"
"11190","ENSG00000269893.9",5531.947,4452.402,4638.08,5530.571,4547.436,4757.259,4662.9,4760.021,4664.603,5331.517,4926.978,4846.19,5040.591,5621.271,4461.885,5268.963,5291.83,4891.881,5007.334,5532.605,4565.765,4338.405,3908.328,3230.547,"ENSG00000269893","SNHG8"
"11191","ENSG00000269929.4",205.1285,665.7096,154.7172,145.249,440.0085,234.8053,95.52256,190.3056,219.6226,207.998,179.9738,121.4398,120.9702,184.2879,134.9101,234.2421,201.66,125.1141,149.9529,165.6963,234.1929,159.1135,119.1486,266.5474,"ENSG00000269929","AL158152.1"
"11192","ENSG00000269937.1",2193.659,2280.748,2240.289,2024.686,2384.705,2440.272,1934.834,2570.916,2363.838,2300.369,2314.316,1916.262,2099.27,2113.442,2131.467,2437.166,2382.054,2190.159,1917.008,2381.134,2178.843,2260.497,2153.82,2397.535,"ENSG00000269937","AC093525.7"
"11193","ENSG00000269955.2",814.9108,794.9882,1004.891,930.15,1140.951,983.3135,757.8419,1051.339,1064.71,1141.528,1164.398,1160.809,862.539,806.2028,1053.229,819.3133,944.4201,660.0149,992.9754,924.8276,1153.11,825.1511,995.0664,942.9307,"ENSG00000269955","C7orf55-LUC7L2"
"11194","ENSG00000269968.1",390.7734,423.3748,451.1441,405.4181,430.8609,458.9243,405.9171,347.4516,357.5612,429.3648,358.702,371.6513,398.8214,409.3525,540.5216,363.9568,416.9957,328.397,437.7568,470.9064,445.7484,302.6442,460.2872,365.0809,"ENSG00000269968","AC006064.4"
"11195","ENSG00000269973.1",656.3573,660.4138,639.8029,661.7135,651.1341,596.3762,600.3645,624.3048,564.9492,579.9257,614.8735,595.8601,635.5078,586.3339,619.4888,563.4967,627.1016,649.487,559.6937,598.0577,649.1971,722.2553,715.0056,740.1621,"ENSG00000269973","AC010969.2"
"11196","ENSG00000270055.1",397.2993,528.8412,375.0651,327.7841,409.4891,446.2438,298.5495,359.2172,421.4215,363.0372,391.4558,304.7996,309.0215,328.1454,345.5027,430.9595,369.9528,366.0869,309.7599,353.2091,357.8897,444.1372,364.4597,521.5901,"ENSG00000270055","AC127502.2"
"11197","ENSG00000270127.2",335.1835,407.4108,377.6764,283.4895,401.3508,435.9795,286.9923,419.2556,449.2631,396.1232,425.6194,265.4316,273.1842,317.5017,280.7849,462.3748,329.2838,370.2614,277.2753,378.1451,338.3595,259.8951,221.2345,380.4705,"ENSG00000270127","AC027020.2"
"11198","ENSG00000270170.2",812.4347,859.3721,841.1338,966.6905,839.4039,809.3092,837.7439,801.7554,804.7103,795.9056,861.4588,810.9005,823.0554,804.0278,798.9131,842.0941,816.3538,792.6327,843.0528,767.0301,744.9745,865.9058,822.3472,791.6152,"ENSG00000270170","NCBP2-AS2"
"11199","ENSG00000270181.3",397.6434,266.4102,220.6352,211.4736,131.9629,338.85,248.524,317.82,319.279,224.9905,269.8347,100.3352,135.8428,200.3609,229.4094,278.9947,227.1372,234.5228,240.0739,259.6374,160.6377,262.0889,233.0624,239.5439,"ENSG00000270181","BIVM-ERCC5"
"11200","ENSG00000270231.4",1777.152,1781.663,1420.471,1507.949,1583.116,1542.935,1209.121,1484.274,1507.32,1317.471,1433.697,1195.489,1210.693,1428.434,1310.108,1705.05,1421.431,1233.327,1101.434,1379.538,1130.792,1517.567,1333.164,1556.649,"ENSG00000270231","NBPF8"
"11201","ENSG00000270276.3",1605.564,1676.536,1492.87,1690.397,1629.952,1608.974,1388.627,1715.301,1990.471,1724.258,1697.107,1276.945,1200.741,1427.352,1175.827,1283.695,1295.056,1255.146,1007.195,1066.699,788.7136,1253.038,1292.385,1281.234,"ENSG00000270276","HIST2H4B"
"11202","ENSG00000270647.7",9664.579,9718.866,9737.111,9717.68,10076.2,10205.6,8953.454,10375.59,10357.43,9859.22,9886.502,10141.97,9644.338,9883.451,10225.98,10050.67,9765.134,9026.245,9223.659,9608.03,10403.88,8714.83,8621.326,9365.402,"ENSG00000270647","TAF15"
"11203","ENSG00000270800.3",1866.135,1970.728,1980.733,2035.361,2138.392,1790.887,2163.48,1811.552,2101.427,2112.706,2059.194,2244.148,2149.643,2223.146,2255.952,2109.488,1944.781,2304.831,2334.846,2331.333,2230.441,2003.937,2018.29,1733.247,"ENSG00000270800","RPS10-NUDT3"
"11204","ENSG00000270816.6",1547.329,1477.868,1411.307,1408.817,1384.843,1389.304,1396.965,1447.614,1434.932,1500.769,1459.357,1434.921,1455.594,1561.052,1551.917,1533.768,1487.462,1626.965,1640.199,1551.602,1570.373,1546.68,1473.509,1486.325,"ENSG00000270816","LINC00221"
"11205","ENSG00000270872.2",539.4339,496.6965,590.5156,587.5273,535.4392,533.1821,552.4235,541.4589,466.6105,581.1101,507.61,451.1407,556.0158,543.4261,517.3277,491.5405,518.5341,473.9723,513.4226,531.4242,448.366,562.7175,646.6826,524.6031,"ENSG00000270872","SRGAP2D"
"11206","ENSG00000270882.3",1410.815,1261.632,1675.957,1306.011,1663.138,1693.334,1774.923,1803.801,1283.096,1730.172,1503.557,1580.168,1432.663,1486.962,1305.657,1304.923,1381.903,1377.892,976.5445,1091.068,939.9816,1263.543,1192.318,1136.351,"ENSG00000270882","HIST2H4A"
"11207","ENSG00000270885.2",3681.741,3596.746,3732.024,3795.634,3855.948,3816.115,3906.065,3706.694,3920.536,3827.555,3780.486,3906.078,4094.742,3817.793,4034.924,3804.681,3765.374,4032.471,4144.81,4017.68,4339.787,3694.868,3759.598,3256.799,"ENSG00000270885","RASL10B"
"11208","ENSG00000271121.2",334.0849,328.1352,348.615,349.8609,371.1187,405.5913,391.7933,351.4024,329.0184,371.3119,376.7253,394.5536,436.3646,407.64,428.2669,409.688,395.0943,433.3054,456.3937,473.1671,453.2143,386.0828,364.283,388.064,"ENSG00000271121","NUDT4P2"
"11209","ENSG00000271122.1",996.216,975.474,1088.358,948.0032,969.4117,894.2086,844.9499,1024.339,882.7959,947.5516,904.4443,752.8053,851.5033,805.3947,753.806,856.4473,855.3119,734.5622,765.7503,761.4593,650.9374,1028.389,1065.704,989.4897,"ENSG00000271122","AC018647.2"
"11210","ENSG00000271147.8",466.6589,529.693,519.3817,592.5401,542.7781,523.3621,562.3835,594.71,589.137,699.836,641.2162,625.5562,618.9786,641.8601,634.5119,612.8465,713.2353,648.5631,746.5006,773.1443,696.1772,550.5496,414.3219,486.3889,"ENSG00000271147","ARMCX5-GPRASP2"
"11211","ENSG00000271270.8",1658.1,1692.736,1392.344,1517.955,1606.08,1608.077,1482.92,1694.185,1618.407,1730.288,1761.068,1515.483,1718.931,1705.591,1636.035,1842.062,1860.738,1887.737,2006.049,2081.331,1864.518,1531.801,1263.2,1315.107,"ENSG00000271270","TMCC1-AS1"
"11212","ENSG00000271303.2",2773.946,2699.178,2817.832,2830.814,2527.984,2656.471,2630.861,2572.467,2601.035,2504.757,2633.568,2747.255,2623.63,2726.446,2697.522,2596.283,2548.139,2712.52,2816.093,2629.682,2613.076,2983.317,2938.648,2922.319,"ENSG00000271303","SRXN1"
"11213","ENSG00000271383.8",1366.52,1593.739,1433.4,890.5825,1382.336,1470.562,827.4873,1234.888,1445.653,1133.445,1429.149,864.0635,848.1387,1075.383,927.479,1226.271,1135.643,1085.462,665.0064,1081.9,966.4638,1167.397,1146.883,1737.064,"ENSG00000271383","NBPF19"
"11214","ENSG00000271383.8",1366.52,1593.739,1433.4,890.5825,1382.336,1470.562,827.4873,1234.888,1445.653,1133.445,1429.149,864.0635,848.1387,1075.383,927.479,1226.271,1135.643,1085.462,665.0064,1081.9,966.4638,1167.397,1146.883,1737.064,"ENSG00000271383","NBPF19"
