"Geneid","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ensgene","symbol"
"ENSG00000000003.15",792.203416291143,-0.0389700699578487,0.144737962158528,-0.269245672501355,0.78774063589589,0.851406908208333,"ENSG00000000003","TSPAN6"
"ENSG00000000457.14",950.26834478882,-0.0658438985080673,0.0791684297582662,-0.831693879859887,0.405581756044551,0.526182742027201,"ENSG00000000457","SCYL3"
"ENSG00000000460.17",1331.98923424314,-0.478204859859191,0.113588286802347,-4.20998391050046,2.55388875141778e-05,0.00012877914728126,"ENSG00000000460","C1orf112"
"ENSG00000001036.14",2666.76163663176,0.0822345606266323,0.0602027407039351,1.36596041417857,0.171951388615187,0.270429877443815,"ENSG00000001036","FUCA2"
"ENSG00000001084.13",3490.06653388789,0.127468316138511,0.0510200878787513,2.49839468017849,0.0124757207633136,0.0310729781715632,"ENSG00000001084","GCLC"
"ENSG00000001167.15",314.792280991534,-0.204936979833095,0.174828890144486,-1.17221461317821,0.241110902865115,0.353252433444914,"ENSG00000001167","NFYA"
"ENSG00000001461.17",913.602801284174,0.364717835434596,0.0959991132560932,3.79917921180847,0.000145176089146598,0.000626206617208286,"ENSG00000001461","NIPAL3"
"ENSG00000001497.18",2165.30518746577,-0.058036694795448,0.115813111909742,-0.501123696949603,0.616284070384837,0.714130277850774,"ENSG00000001497","LAS1L"
"ENSG00000001561.7",278.600756842469,-0.606145109783085,0.147076530147788,-4.12129052251917,3.76755952234759e-05,0.000182237996814323,"ENSG00000001561","ENPP4"
"ENSG00000001617.12",309.679437556617,-0.824368417380293,0.175340136973821,-4.7015385730158,2.58208473259933e-06,1.58469703433796e-05,"ENSG00000001617","SEMA3F"
"ENSG00000001629.10",7594.60503332529,0.0928626103068086,0.0431531146936417,2.15193297091232,0.0314026339912544,0.0683235887185,"ENSG00000001629","ANKIB1"
"ENSG00000001630.18",12798.7732343536,0.279956022026619,0.0456041836785104,6.1388232272764,8.31350144404535e-10,8.93659586817149e-09,"ENSG00000001630","CYP51A1"
"ENSG00000001631.17",1831.06930736767,-0.366700800560617,0.0816917869053901,-4.488833142863,7.16143617769902e-06,4.0745444919443e-05,"ENSG00000001631","KRIT1"
"ENSG00000002016.18",549.563387556893,0.186872101935985,0.146386349171695,1.2765678151916,0.201754870649706,0.305997273653954,"ENSG00000002016","RAD52"
"ENSG00000002549.13",2559.15418957243,0.438270130116521,0.109486368911076,4.00296525015346,6.25534929901616e-05,0.000289469065656075,"ENSG00000002549","LAP3"
"ENSG00000002586.20",6758.80868344064,-0.287745502655144,0.0615866991565153,-4.67220205979659,2.97987590011076e-06,1.81631340517305e-05,"ENSG00000002586","CD99"
"ENSG00000002822.16",813.320855587844,-0.148775375231289,0.112639766901954,-1.3208068457811,0.186565776521921,0.287697405417337,"ENSG00000002822","MAD1L1"
"ENSG00000002834.18",5714.764044324,0.150131627454485,0.0503888411278805,2.97946180332804,0.00288755228276899,0.0087329454122238,"ENSG00000002834","LASP1"
"ENSG00000003056.8",5881.77034665706,0.0157209243270743,0.0496479299060553,0.316648133302269,0.751510608566873,0.824678119804564,"ENSG00000003056","M6PR"
"ENSG00000003096.14",9498.83654855341,-0.135659237433598,0.0502877256005204,-2.69766102589841,0.00698285040854835,0.0187891605679524,"ENSG00000003096","KLHL13"
"ENSG00000003147.19",10887.2758128087,0.191036832546168,0.0580805240357005,3.289171985238,0.00100482603127385,0.00347799356791741,"ENSG00000003147","ICA1"
"ENSG00000003249.15",1974.8254922372,0.205956802394463,0.0672460684113213,3.06273373685872,0.00219325115975688,0.00689870139593825,"ENSG00000003249","DBNDD1"
"ENSG00000003393.16",2927.1694371401,0.221421423390305,0.0560465144456096,3.95067250087753,7.79319044417091e-05,0.000355400084916629,"ENSG00000003393","ALS2"
"ENSG00000003402.21",1583.8655279823,0.0161179062119961,0.0875442095743984,0.184111619607445,0.853925891171643,0.902193299345933,"ENSG00000003402","CFLAR"
"ENSG00000003436.16",388.296973516086,-0.273732901713711,0.184964347797847,-1.47992250924423,0.138893927857645,0.229237197892946,"ENSG00000003436","TFPI"
"ENSG00000003509.16",1656.40308471336,-0.0623057014872534,0.120957702839628,-0.515103213971096,0.606480896946868,0.706371090459699,"ENSG00000003509","NDUFAF7"
"ENSG00000003756.17",5761.66210227861,0.105838630519049,0.110662933482714,0.956405430329397,0.338867442273858,0.457633799380203,"ENSG00000003756","RBM5"
"ENSG00000003987.14",1386.79623898267,-0.107265095651695,0.0748153063662062,-1.43373195755764,0.15164876877324,0.245957361011242,"ENSG00000003987","MTMR7"
"ENSG00000003989.18",11076.7204892963,-0.706704668584663,0.056742105846526,-12.4546781978119,1.31882364408601e-35,9.52137205206689e-34,"ENSG00000003989","SLC7A2"
"ENSG00000004059.11",2795.77420699283,0.0529600023245129,0.0611699447723722,0.865784700666145,0.386608240703846,0.505928848979865,"ENSG00000004059","ARF5"
"ENSG00000004139.14",4720.41542600856,0.413302906087729,0.0456139673737761,9.06088485355783,1.29396546736986e-19,3.85125933672618e-18,"ENSG00000004139","SARM1"
"ENSG00000004142.12",2367.30325404639,0.188176569491047,0.0606860731456188,3.10081967306583,0.00192985777815279,0.00617566048504421,"ENSG00000004142","POLDIP2"
"ENSG00000004399.13",626.351324204951,0.0315903988070488,0.126911698410672,0.248916366281899,0.803425475210949,0.864860084891093,"ENSG00000004399","PLXND1"
"ENSG00000004455.18",11714.2538030497,0.0384088922158767,0.0428243961393471,0.896892791923962,0.369776126744694,0.488931804760186,"ENSG00000004455","AK2"
