"Geneid","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_name"
"ENSG00000233750.3",1.97096439567156,-1.05323219806017,1.48697741209848,-0.708304100311661,0.478756431357813,0.999946159858965,"CICP27"
"ENSG00000286448.1",2.52188218790771,-1.04028909051135,1.3009861004171,-0.799615837692523,0.423933408517853,0.999946159858965,"AP006222.2"
"ENSG00000230021.10",64.105800657827,0.0971008006864413,0.262651935053557,0.369693833272699,0.711610627116347,0.999946159858965,"AL669831.3"
"ENSG00000225630.1",28.379584873253,-0.191394760555006,0.386163763666123,-0.49563107304,0.62015472552047,0.999946159858965,"MTND2P28"
"ENSG00000237973.1",7.62314081190401,0.226019384941641,0.772380348069699,0.292627052858737,0.769807233293219,0.999946159858965,"MTCO1P12"
"ENSG00000278791.1",9.37858893184811,0.202322623434697,0.647167886636356,0.312627723984058,0.75456351249541,0.999946159858965,"AC114498.2"
"ENSG00000229344.1",6.98485617535802,0.0803763505155924,0.888315234679398,0.0904817877457669,0.9279043658571,0.999946159858965,"MTCO2P12"
"ENSG00000240409.1",1.3547937415606,-1.62142549109638,1.96684485662739,-0.824378946632674,0.409724273573888,0.999946159858965,"MTATP8P1"
"ENSG00000248527.1",545.186886511738,-0.789706802943267,0.378165827058711,-2.08825532726061,0.0367748088639691,0.999946159858965,"MTATP6P1"
"ENSG00000198744.5",3.13869964331233,-0.197491554775183,1.09742849857947,-0.179958471126656,0.857185171100538,0.999946159858965,"MTCO3P12"
"ENSG00000229376.3",3.77947201696063,0.593934486625329,0.98853966420496,0.600820086569824,0.547959823960723,0.999946159858965,"CICP3"
"ENSG00000237491.10",9.86483403929515,0.0508506932662882,0.630581606625202,0.0806409396214949,0.935727507098466,0.999946159858965,"LINC01409"
"ENSG00000177757.2",6.15671453120374,-1.48236948481037,0.825300269442355,-1.79615776184344,0.0724694301364543,0.999946159858965,"FAM87B"
"ENSG00000228794.10",25.5552366686526,-0.074179415259035,0.392257291865291,-0.189109079161515,0.850007325738602,0.999946159858965,"LINC01128"
"ENSG00000225880.5",4.13217610639839,-2.47840317566967,1.16673911064193,-2.12421367644569,0.0336522801246049,0.999946159858965,"LINC00115"
"ENSG00000272438.1",6.68549258717621,-0.286154288730386,0.806140787312615,-0.354968131167662,0.722613466194593,0.999946159858965,"AL645608.6"
"ENSG00000230699.2",14.769625354247,0.326948690187156,0.527784893944448,0.619473376253108,0.535604555711702,0.999946159858965,"AL645608.2"
"ENSG00000223764.2",285.746968533971,0.196940629736206,0.154412494797523,1.27541900022047,0.202160977102331,0.999946159858965,"LINC02593"
"ENSG00000187634.12",1253.52976801338,-0.022862130405249,0.0881827146994015,-0.259258636833553,0.795435691549839,0.999946159858965,"SAMD11"
"ENSG00000188976.11",668.952158565518,0.257272973093538,0.103277198850606,2.49109170230006,0.0127351245664451,0.999946159858965,"NOC2L"
"ENSG00000187961.14",31.3773769860234,0.0810209397229884,0.359927726543246,0.225103357557684,0.821898869056294,0.999946159858965,"KLHL17"
"ENSG00000187583.11",8.0841037391961,0.00589553063979248,0.682625886015567,0.00863654713448419,0.993109118047941,0.999946159858965,"PLEKHN1"
"ENSG00000187642.9",1.12550487479605,-0.520798455666202,1.91326224619976,-0.272204428170077,0.785464837166443,0.999946159858965,"PERM1"
"ENSG00000188290.11",29.4698702589665,0.422544726526716,0.392825184952939,1.07565589659771,0.282081178705846,0.999946159858965,"HES4"
"ENSG00000187608.10",2.01149890213841,-0.483185282891976,1.57129830320245,-0.307507035365085,0.75845746883931,0.999946159858965,"ISG15"
"ENSG00000231702.2",10.9188843829662,-0.483621757798488,0.601898688349416,-0.803493623029355,0.421689481123518,0.999946159858965,"AL645608.3"
"ENSG00000224969.1",11.2679414423563,0.407928946677527,0.640409826764805,0.636981085593713,0.524137163968604,0.999946159858965,"AL645608.1"
"ENSG00000188157.15",125.583659699516,-0.111231246114659,0.198158768005642,-0.561323867897142,0.574576773463369,0.999946159858965,"AGRN"
"ENSG00000217801.10",6.55269489559185,-0.354568549644149,0.796513418570588,-0.445150754999775,0.656210811801468,0.999946159858965,"AL390719.1"
"ENSG00000273443.1",7.50368444574408,-0.74552310161768,0.74150596219929,-1.00541754162903,0.314695836664072,0.999946159858965,"AL645608.8"
"ENSG00000131591.17",25.3997668755302,-0.114149491394325,0.438445584466398,-0.260350418474959,0.794593484758945,0.999946159858965,"C1orf159"
"ENSG00000285812.1",77.8410960061076,0.0123284716357663,0.242703436757498,0.0507964444198809,0.959487724163272,0.999946159858965,"AL390719.3"
"ENSG00000186891.14",0.839593683455434,-0.582377641250324,2.44240818373549,-0.23844402632144,0.811536723872385,0.999946159858965,"TNFRSF18"
"ENSG00000078808.18",154.757977870265,0.0223954344819025,0.180592913226136,0.124010594224477,0.901306886838095,0.999946159858965,"SDF4"
"ENSG00000176022.7",55.9573870363973,0.219186096122505,0.278112949275591,0.788118987963074,0.430627109535428,0.999946159858965,"B3GALT6"
"ENSG00000184163.3",3.33699693345572,-0.933670130144943,1.08841296635233,-0.857827092297524,0.390987947433289,0.999946159858965,"C1QTNF12"
"ENSG00000160087.21",77.9870071335531,-0.0167977677774447,0.237512834869442,-0.0707236212589449,0.943617720861476,0.999946159858965,"UBE2J2"
"ENSG00000162572.21",5.56698891475693,-0.58655794196876,0.848606872361095,-0.691201027322308,0.489439218375924,0.999946159858965,"SCNN1D"
"ENSG00000131584.19",254.894390152289,0.0901894013778349,0.159977658700042,0.563762478527953,0.572915790571558,0.999946159858965,"ACAP3"
