sample,condition,level
DOX_0.0125_1,1,0.0125
DOX_0.0125_2,1,0.0125
DOX_0.0125_3,1,0.0125
DOX_0.0187_1,1,0.0187
DOX_0.0187_2,1,0.0187
DOX_0.0187_3,1,0.0187
DOX_0.021_1,1,0.021
DOX_0.021_2,1,0.021
DOX_0.021_3,1,0.021
DOX_0.025_1,1,0.025
DOX_0.025_2,1,0.025
DOX_0.025_3,1,0.025
DOX_0.075_1,1,0.075
DOX_0.075_2,1,0.075
DOX_0.075_3,1,0.075
NT_0_1,0,0
NT_0_2,0,0
NT_0_3,0,0
